comp11_c0_seq1	ref|NC_001147|	100.00	247	0	0	1	247	458562	458316	6e-129	  457
comp20_c0_seq1	ref|NC_001136|	100.00	210	0	0	1	210	422265	422056	2e-108	  388
comp25_c0_seq1	ref|NC_001138|	100.00	286	0	0	1	286	222681	222966	2e-150	  529
comp42_c0_seq1	ref|NC_001138|	100.00	279	0	0	1	279	199935	200213	1e-146	  516
comp56_c0_seq1	ref|NC_001136|	100.00	259	0	0	1	259	915278	915020	1e-135	  479
comp94_c0_seq1	ref|NC_001148|	100.00	256	0	0	1	256	281751	281496	6e-134	  473
comp129_c0_seq1	ref|NC_001139|	100.00	218	0	0	1	218	995219	995002	7e-113	  403
comp134_c0_seq1	ref|NC_001142|	99.68	315	1	0	1	315	710410	710096	6e-165	  577
comp135_c0_seq1	ref|NC_001147|	100.00	374	0	0	1	374	746250	745877	0.0	  691
comp135_c1_seq1	ref|NC_001147|	100.00	407	0	0	14	420	745891	745485	0.0	  752
comp136_c0_seq1	ref|NC_001148|	100.00	451	0	0	3	453	502696	502246	0.0	  833
comp136_c1_seq1	ref|NC_001148|	100.00	349	0	0	1	349	503103	502755	0.0	  645
comp137_c0_seq1	ref|NC_001147|	100.00	292	0	0	1	292	505312	505021	7e-154	  540
comp137_c1_seq1	ref|NC_001147|	100.00	563	0	0	1	563	504481	505043	0.0	 1040
comp138_c0_seq1	ref|NC_001146|	100.00	558	0	0	1	558	301175	301732	0.0	 1031
comp138_c1_seq1	ref|NC_001146|	100.00	278	0	0	1	278	301841	302118	4e-146	  514
comp139_c0_seq1	ref|NC_001145|	98.47	523	8	0	1	523	852152	851630	0.0	  922
comp140_c0_seq1	ref|NC_001145|	100.00	300	0	0	1	300	180285	179986	3e-158	  555
comp142_c0_seq1	ref|NC_001145|	99.63	270	1	0	1	270	675658	675389	5e-140	  494
comp146_c0_seq1	ref|NC_001147|	100.00	238	0	0	1	238	117195	117432	6e-124	  440
comp147_c0_seq1	ref|NC_001143|	100.00	317	0	0	1	317	321979	322295	1e-167	  586
comp147_c1_seq1	ref|NC_001143|	99.85	688	0	1	1	688	322287	322973	0.0	 1264
comp150_c0_seq1	ref|NC_001144|	100.00	338	0	0	1	338	932182	932519	2e-179	  625
comp150_c1_seq1	ref|NC_001144|	100.00	265	0	0	1	265	931924	932188	7e-139	  490
comp154_c0_seq1	ref|NC_001140|	98.05	462	8	1	3	463	551699	551238	0.0	  802
comp154_c0_seq1	ref|NC_001133|	98.05	462	8	1	3	463	225062	224601	0.0	  802
comp166_c0_seq1	ref|NC_001141|	100.00	605	0	0	1	605	142407	141803	0.0	 1118
comp166_c1_seq1	ref|NC_001141|	99.60	250	0	1	1	249	142634	142385	2e-128	  455
comp180_c0_seq1	ref|NC_001140|	100.00	246	0	0	23	268	472791	473036	3e-128	  455
comp180_c0_seq2	ref|NC_001140|	100.00	306	0	0	1	306	472731	473036	1e-161	  566
comp181_c0_seq1	ref|NC_001148|	100.00	502	0	0	1	502	431933	432434	0.0	  928
comp184_c0_seq1	ref|NC_001134|	99.55	224	1	0	1	224	198260	198037	2e-114	  409
comp185_c0_seq1	ref|NC_001139|	100.00	477	0	0	1	477	31529	31053	0.0	  881
comp187_c0_seq1	ref|NC_001135|	97.81	319	6	1	1	319	273081	273398	1e-156	  549
comp187_c1_seq1	ref|NC_001135|	98.66	524	7	0	1	524	273377	273900	0.0	  929
comp189_c0_seq1	ref|NC_001141|	100.00	782	0	0	1	782	387963	387182	0.0	 1445
comp189_c1_seq1	ref|NC_001141|	100.00	432	0	0	1	432	387974	388405	0.0	  798
