"species"	"assembler"	"contig_score_geomean"	"proportion_mapping"	"assembly_score"
"mouse"	"trinity"	0.0330904345900982	0.703280342279011	0.0232718521647196
"mouse"	"oases"	0.100715469879752	0.617683388571631	0.0622102727168645
"mouse"	"soap"	0.0362986739578303	0.708123572354255	0.0257039466746888
"rice"	"trinity"	0.0984347348309317	0.866650190828962	0.0853084817255696
"rice"	"oases"	0.162364509729609	0.716372724567427	0.116313506207953
"rice"	"soap"	0.142291055257639	0.829349743381348	0.118009050163385
"human"	"trinity"	0.294506563944586	0.71320327555981	0.210043046079183
"human"	"oases"	0.0980331548289057	0.652139887280216	0.0639313305399736
"yeast"	"trinity"	0.398407233803881	0.827707159355075	0.329764519758323
"yeast"	"oases"	0.162573059411243	0.720831532613068	0.117187787576986
